StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
KS,Norton,20137,5301,959.4810000000001,917.0730000000001,996.5880000000001,652.023,1383.5610000000001,2115.099
KS,Osage,20139,15654,2551.6020000000003,2817.7200000000003,3052.53,2050.674,4320.504,6277.254000000001
KS,Osborne,20141,3490,530.48,533.97,656.12,478.13,889.95,1319.22
KS,Ottawa,20143,5795,985.15,1019.9200000000002,1153.205,730.17,1477.7250000000001,2120.9700000000003
KS,Pawnee,20145,6179,1106.041,945.3870000000002,1118.3990000000001,784.733,1668.33,2564.285
KS,Phillips,20147,4809,759.822,860.8109999999999,928.137,682.878,1389.8010000000002,1793.7569999999998
KS,Pottawatomie,20149,26273,4729.14,3336.671,5044.416,2653.573,5648.695,8197.176
KS,Pratt,20151,9067,1486.9879999999998,1496.055,1749.931,1142.442,2384.621,3391.058
KS,Rawlins,20153,2528,371.616,399.42400000000004,477.792,381.72799999999995,728.0640000000001,1028.8960000000002
KS,Reno,20155,61516,9227.4,10703.784,12672.296000000002,7997.08,15502.032,22945.467999999997
KS,Republic,20157,4642,719.51,687.0160000000001,872.696,659.164,1206.92,1777.8859999999997
KS,Rice,20159,9407,1674.4460000000001,1420.4569999999999,1806.144,1157.0610000000001,2436.413,3377.113
KS,Riley,20161,71108,14790.464000000002,10310.66,15359.328000000001,5475.316,17350.352,21830.156000000003
KS,Rooks,20163,4813,837.462,673.82,904.844,567.9340000000001,1097.364,1809.688
KS,Rush,20165,2927,471.24700000000007,480.02799999999996,567.838,406.85300000000007,769.801,1077.136
KS,Russell,20167,6639,1048.9620000000002,1048.9620000000002,1268.0490000000002,882.9870000000001,1679.6670000000001,2423.235
KS,Saline,20169,53596,9593.684,8896.936000000002,10879.988000000001,7074.672,13720.576000000001,20044.904
KS,Scott,20171,5014,837.3380000000001,942.632,982.7440000000001,671.8760000000001,1449.046,2015.6280000000002
KS,Sedgwick,20173,525525,86186.1,87762.675,103002.90000000001,61486.425,126126.0,173423.25
KS,Seward,20175,21358,3737.65,3459.9959999999996,3993.946,2990.12,7283.078,9547.026000000002
KS,Shawnee,20177,177480,28574.280000000006,26622.0,37625.76,23072.4,41530.32,69927.12
KS,Sheridan,20179,2425,400.125,310.40000000000003,438.925,293.425,543.2,897.25
KS,Sherman,20181,5830,932.8000000000001,985.2699999999999,1154.34,792.88,1667.38,2291.1899999999996
KS,Smith,20183,3533,529.95,512.285,639.4730000000001,494.62,950.377,1427.3319999999999
KS,Stafford,20185,3993,622.908,654.852,766.656,531.0690000000001,1110.054,1517.34
KS,Stanton,20187,1963,304.265,327.82099999999997,367.081,288.561,634.049,832.312
KS,Stevens,20189,5175,859.0500000000002,874.5749999999998,967.725,740.025,1666.3500000000004,2064.825
KS,Sumner,20191,22473,3483.315,4045.14,4382.235,2899.0170000000003,6427.278,8921.781
KS,Thomas,20193,7893,1436.526,1057.662,1554.921,860.337,1886.427,2604.69
KS,Trego,20195,2752,448.576,423.80800000000005,503.616,366.016,668.7360000000001,996.2240000000002
KS,Wabaunsee,20197,7019,1249.382,1137.078,1305.534,891.4129999999999,1845.997,2898.8469999999998
KS,Wallace,20199,1488,241.05599999999998,229.15200000000002,279.744,206.83200000000002,376.464,593.712
KS,Washington,20201,5501,880.16,891.162,1072.695,709.6290000000001,1419.2580000000003,2172.895
KS,Wichita,20203,2064,321.984,311.664,369.456,291.024,569.664,831.792
KS,Wilson,20205,8622,1370.8980000000001,1465.74,1689.9120000000003,1172.592,2414.16,3440.178
KS,Woodson,20207,3109,472.568,600.037,612.473,460.13200000000006,960.6809999999999,1200.074
KS,Wyandotte,20209,165746,25027.646,32651.962,30828.756,26519.36,59668.56,68950.33600000001
KY,Adair,21001,19067,2478.71,3641.797,5033.688,2764.715,5681.965999999999,7016.656
KY,Allen,21003,21275,2893.4,4425.2,5957.0,3127.425,6467.6,9020.6
KY,Anderson,21005,24224,3585.152,4844.8,6613.152000000001,3270.2400000000002,6613.152000000001,9302.016
KY,Ballard,21007,7650,986.85,1606.5,2119.05,1178.1000000000001,2226.15,3021.75
KY,Barren,21009,44854,5920.727999999999,8208.282000000001,12289.996,6593.538,13007.66,18210.724000000002
KY,Bath,21011,12829,1654.941,2463.168,3438.172,1744.744,3463.83,4926.336
KY,Bell,21013,23568,2969.5679999999998,5868.432,6740.448,4100.831999999999,7848.143999999999,10440.624
KY,Boone,21015,139093,23506.716999999997,23228.531000000003,35468.715000000004,16273.881,30461.367,53689.898
KY,Bourbon,21017,20093,2591.9970000000003,3857.8559999999998,5284.459000000001,3114.415,6088.179,8157.758000000001
KY,Boyd,21019,48110,6350.52,9189.010000000002,13230.25,7120.28,14529.220000000001,19676.99
KY,Boyle,21021,30904,4295.656000000001,5130.064,8096.847999999999,4110.232,7880.52,11465.384000000002
KY,Bracken,21023,8452,1149.472,1639.6879999999999,2366.56,1233.992,2366.56,3203.308
