cbsacode,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n,Park_Area_Acres
12520.0,16938,2862.5219999999995,2676.204,4268.376,2218.878,3997.368,5792.796000000001,2311.9740001161827,3892.476000195607,2949.336197200212,1136.3940000571067,2246.0,522.0,476.0,115.0,44872.0,4432.0,328.7,8.0,746255.0,55626.98566642811,13293.029354400154,4615.503788311048,215.1384289570854,33.000000003725276,1377.432255212947,197.0290388176282,50.144257955120295,2.13252484713793,0.0473360890655948,17.36213015
12540.0,916108,165815.548,151157.82,199711.544,117261.824,279412.94,326134.44800000003,97090.28199929326,228258.60999833845,104862.30660600548,83587.65999939156,124655.0,48062.0,65091.0,2079.0,58583.0,272448.0,763.8,655.0,58421422.0,453162.16036332224,148170.91907243992,49032.64459134215,6530.330019476552,392.0000001347511,132394.81887504947,35715.36550360849,10471.82827109031,1934.6746688605836,30.44241205406179,114773.3067
12580.0,2265741,360188.145,250855.081,456601.375,249024.65800000002,481250.03300000005,741531.3979999999,249253.62400187462,542318.5550042645,307529.0405106504,159901.75100128332,428237.0,72325.0,110622.0,6387.0,610776.0,885552.0,2295.6,1956.0,185565255.0,460904.1799982772,127392.66998161389,33238.221695608096,4216.1979616168,146.97608300205317,299549.9175478133,66324.54781327081,19938.78583042487,2685.184036326515,66.89503699754884,80226.52268
12620.0,153704,22901.896,25361.16,44574.16,16292.624,36427.848,59022.336,25301.514000266336,43249.386000455255,25816.70886255656,11840.61000012464,25483.0,4007.0,5550.0,909.0,52079.0,57245.0,358.9,89.0,8537540.0,121960.53166996436,33763.23046889566,7315.187700218271,413.00000002235174,31.0,11433.930538215553,2744.227266699257,534.7029423149731,22.316352817650877,0.7043706836960746,2043.739742
12660.0,65777,14734.048,12168.745,16838.912000000004,7564.355,15391.818,26047.692000000003,8681.556000022427,17862.052000046147,13009.643106886211,3891.732000010054,10044.0,2585.0,2605.0,115.0,65746.0,27641.0,366.2,54.0,4926459.0,33113.00840076978,7716.737697261842,1657.3059448641195,212.9482456291644,2.0,1949.4988383544037,450.426740833095,63.76630844480764,8.468700391886147,0.0155998017663013,12440.88
12700.0,232457,38587.862,22083.415,49745.798,24872.899,46258.943,59741.44899999999,26597.696001190365,44268.768001981225,46294.8954435951,12570.144000562572,25302.0,11055.0,6522.0,1172.0,76287.0,80962.0,255.9,211.0,16850556.0,71681.84476418626,20418.15734271216,5317.105297911133,40.9532750248909,7.0,18164.152097036906,3850.9341280919903,828.3927070439443,6.175499111550675,2.074437082165407,25556.6975
12740.0,60048,12309.84,8706.960000000001,15852.672,4923.936,10448.352,15972.768,7591.454999927624,12986.639999876186,11884.166087070698,3389.8949999676806,9648.0,1596.0,3385.0,335.0,70061.0,22635.0,289.3,41.0,4554193.0,24743.207498807136,6164.202012039645,1320.1018778006917,31.0,4.0,2369.342982965294,452.0118507296911,74.99326250810101,4.0940804532499016,0.2829516288265823,16325.06766
12780.0,53242,6814.9760000000015,10541.916,14535.066,7879.816000000001,18368.49,21988.945999999996,7398.522000207688,15075.483000423192,5989.140531889625,3977.70000011166,6957.0,1311.0,2572.0,165.0,48144.0,17948.0,353.2,32.0,3654082.0,12242.479801873951,4111.646724221138,1128.0677282211884,0.0,0.0,1967.817545170854,525.922260611724,40.06112961943225,0.0,0.0,313.0707392
12860.0,57535,10874.115,9493.275,12715.235,6501.455,15591.985,20309.855,8680.758999998816,15179.96599999793,9941.147822891244,3908.613999999466,8825.0,2129.0,2128.0,93.0,62641.0,23464.0,263.6,35.0,3055937.0,70988.88149035211,22791.627331244505,6276.2583582879,571.8384392259176,73.0,5604.797949693354,1381.971448681386,314.51048253760655,29.023794694090533,3.2896212579238737,450.3894857
12940.0,873060,168754.46399999998,147395.152,231141.321,114093.053,243658.263,329457.435,134511.7799988885,241550.88999833708,154614.99522290597,74210.13299966881,144511.0,31785.0,68254.0,2578.0,560363.0,330452.0,6174.7,-9282.0,64680975.0,273458.9715465473,68286.83935094265,14093.53862063746,1420.7015874504339,229.99999997796107,61476.740613464994,14950.32487577751,3180.2877169072262,288.1013516834717,29.930311301848896,7001.38863
12980.0,133289,23192.285999999996,23592.153,34255.273,16661.125,36254.608,51982.71,21724.289999212077,39724.415998559234,21189.06632855409,11069.042999598536,18347.0,5994.0,9037.0,483.0,52310.0,47612.0,703.6,102.0,7897845.0,82217.54339435147,21914.771301310004,5505.631809781396,426.0000000840861,17.00000001490116,14911.264853938415,3508.138905163318,658.2693627746485,67.15330313768774,5.584413555840307,1613.281912
13020.0,102821,18404.959,14703.403,24779.861,11618.773,22209.336000000003,38352.233,17502.636000900948,29746.264001531184,16593.28465751814,8135.028000418752,16319.0,4564.0,5640.0,284.0,55860.0,38835.0,370.4,73.0,4538542.0,45415.54608996087,11118.16883145036,2768.6129602942983,105.8376315005589,6.0,9580.769738462124,2146.001636259543,339.0105349213922,19.563275317665692,0.8755806956407289,2657.048097
13060.0,36125,5743.875,6827.625,8381.0,6321.875,12535.375,14775.125,4869.336999962857,11098.823999915336,5094.992786362236,3890.028999970327,4756.0,1737.0,3049.0,15.0,52241.0,13011.0,223.8,20.0,2963316.0,39641.42324774762,7089.881433210061,1140.7813613428,216.99999997764823,45.99999999254941,4911.056239776731,637.6118836098317,107.21865547353514,19.617224114916603,12.431897757619844,2603.782842
13100.0,21583,3733.859,3733.859,4014.438000000001,2892.1220000000003,6777.062,9215.941,3089.64599991113,5996.570999827513,3597.3096742857265,1544.822999955565,3065.0,434.0,761.0,40.0,61283.0,8762.0,237.1,12.0,1385539.0,30041.37497794227,8265.166339124982,809.8741625547414,128.99999994784588,42.999999977648216,639.2655911962773,173.08269863205794,4.9409430750300745,1.06790589093972,0.1740462945651999,229.4914781
13140.0,393575,71241.04699999999,71835.71800000001,89977.99399999999,61344.667,127293.861,152527.625,58393.01600179036,117506.18300383049,55889.570471829975,37404.07400124685,57074.0,18607.0,29799.0,335.0,179282.0,142846.0,1014.6999999999999,281.0,29605473.0,202657.64898453886,60115.92265345197,15852.360705379582,2706.001428753798,227.00000006612387,49714.584302658404,13316.304541405849,2988.071626593477,456.52622847885993,32.61867325515441,117578.1134
13180.0,88282,18627.502000000004,16950.144,21364.244,10417.276000000002,23306.448,35930.774000000005,12749.277999231692,27329.943998353017,18805.235743095345,5564.601999664661,12812.0,2484.0,3130.0,104.0,65540.0,37409.0,436.0,36.0,4549317.0,67813.91459253474,16447.355913053336,3914.285091247079,291.00000001490116,73.0000000298023,4516.011079412595,1098.031780528907,311.68656521000264,9.294695286048418,1.9392209707916668,31797.56777
13220.0,112369,15248.789,25052.417000000005,31001.66,19728.43,39939.731,44604.401,23802.840000350363,36816.373000575164,12981.383176203719,11956.599000182037,15964.0,4346.0,6276.0,164.0,86490.0,35474.0,612.7,74.0,5164197.0,77551.05959908181,20869.621466082564,6679.053841919871,376.4299835821148,39.0000000022701,6022.816401034942,1976.4938117051913,618.6363441030984,42.45857057351488,1.0428871571882277,781.5346041
13260.0,45222,6918.966,8908.734,11350.722,6240.6359999999995,14244.93,17953.134000000002,8261.715000159482,13447.640000259593,6161.258677924436,3719.560000071802,5979.0,1435.0,2352.0,36.0,63904.0,17488.0,264.5,20.0,1741168.0,16281.916146300304,5363.882279813579,454.8188070230463,15.0,3.0,1679.0236980714017,526.5215832053345,72.3324011149348,0.7254656223063006,0.0441185570834606,203746.8531
13300.0,30394,5866.042,5501.314,6413.134,4771.858,10121.202,12947.844,4771.519999848245,10884.223999653834,4783.652443163059,4049.343999871214,4656.0,974.0,1883.0,14.0,46316.0,8518.0,647.9,15.0,924568.0,17400.51957811981,6170.499940166186,1234.6613817639677,0.0,0.0,1210.732246727076,216.65609146164547,7.790712220485553,0.0,0.0,302.7070963
13340.0,46040,7688.68,9622.36,11832.28,6629.76,13904.08,18001.64,8430.420999477656,13187.836999182891,6854.730706904086,3533.080999781093,5689.0,1892.0,2048.0,54.0,61797.0,17385.0,300.0,33.0,2480832.0,34730.21404868998,8527.622810172743,1918.0111234451915,165.0,20.0,3272.299412894831,727.9492609816995,129.22752884756952,3.941586406445798,0.3115855688817701,1493.587448
13380.0,230677,44289.984,24913.116,66204.299,22606.346,37600.351,63205.498,29022.200000884368,61040.240001860024,34700.94341110941,16289.880000496383,41560.0,10724.0,8333.0,1135.0,70463.0,81084.0,385.2,129.0,21231134.0,63225.68674210915,16053.374972779877,3130.7721399860534,147.46388102567292,27.270723437890418,22053.818126032507,4936.433898236062,1178.6771366726089,41.55588983687264,11.975228658705973,639955.7282
13420.0,46799,9219.403,7721.835,12354.936,5381.885,9687.393,18672.801,7642.390000131538,12547.738000215964,7780.206150309109,3412.4160000587326,7360.0,1559.0,3775.0,175.0,58138.0,15796.0,557.3,28.0,2238434.0,28472.241065153383,4894.744835347071,322.9999998945023,41.0,0.0,1893.1557317262825,394.7707823858055,22.662986388237996,0.778060478519897,0.0,1977.004702
13460.0,258254,47646.16,31020.881,61419.83,27299.244,41742.254,73673.543,32183.082001118437,53584.05300188238,46779.69209484852,16202.835000575866,43459.0,9523.0,10371.0,1240.0,198748.0,81689.0,1376.4,179.0,16494532.0,166933.89800552663,39549.81034334541,5093.456970491176,403.0000001008156,41.999999985098825,25016.3704402072,5770.845866064325,733.1710109846155,46.184567301641195,3.849488262508962,2341839.357
13540.0,37392,6580.992000000001,4711.392,9348.0,3589.632,7590.576,10469.76,5091.2280000313285,7392.34800004549,6879.875931387935,2128.5360000130977,4885.0,1128.0,1916.0,175.0,65528.0,12437.0,211.4,25.0,2080005.0,20789.028108150967,5486.360591702344,111.8768699504435,20.0,4.0,1292.2806339618503,280.3777081166558,4.422672599232748,0.6465049113543945,0.1671138251977494,410033.1742
