Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size
2011,24540.0,254759.0,70313.48400000001,33200.192879999995,44082.478324,30802.401172,10144.50338,0.0,44211.0,10400.0,15222.0,59.0,55845.0,93007.0,318.7,16.78,102.0
2011,24660.0,480362.0,114326.156,71376.98958,102124.000476,48682.767252000005,36603.5844,0.0,84949.0,26577.0,41057.0,143.0,47836.0,182257.0,432.4,14.82,97.0
2012,24660.0,480362.0,114326.156,67350.595296,103222.108008,49048.803096,37335.656088,0.0,85117.0,26866.0,43693.0,143.0,42415.0,186284.0,576.6,16.95,83.0
2011,24860.0,451428.0,111051.288,69096.472536,87817.19169600001,46631.609544000006,30293.527368,0.0,73444.0,22947.0,33798.0,50.0,48147.0,164517.0,375.5,16.75,143.0
2012,24860.0,451428.0,111051.288,67054.212264,95645.856072,45950.85612,33697.294488,0.0,75173.0,21088.0,34874.0,50.0,45666.0,167105.0,460.1,17.81,178.0
2012,25180.0,145910.0,33413.39,25761.723690000003,33636.48639,16537.001669999998,11924.64066,0.0,21443.0,6937.0,10624.0,23.0,51610.0,56130.0,269.6,21.25,118.0
2011,25580.0,33324.0,7897.788,4881.832704,7297.322843999999,4068.19392,2084.9493840000005,0.0,5121.0,894.0,1943.0,12.0,47106.0,13338.0,225.6,20.3,100.0
2012,25720.0,21600.0,7084.8,1320.8831999999998,3440.1024,1306.368,943.488,0.0,4108.0,924.0,913.0,7.0,61593.0,7975.999999999999,185.1,20.41,86.0
2011,25720.0,21600.0,7084.8,1277.3375999999996,3251.4048,1291.8528,812.8512,0.0,3694.0,757.0,700.0,7.0,64238.0,7569.0,137.7,17.1,87.0
2011,25740.0,61942.0,13936.95,8784.92415,10657.1211,8976.94435,3600.37875,0.0,10318.0,1541.0,3272.0,11.0,49959.0,22768.0,354.5,24.47,139.0
2012,25770.0,60529.0,13255.851,8272.801075,14796.495637,5152.773241,5058.226943000001,0.0,7360.0,2788.0,3870.0,17.0,54674.0,18796.0,80.5,13.31,273.0
2011,25900.0,177835.0,41079.885,26393.737195000005,30359.635530000003,27898.043460000004,9846.36828,0.0,24476.0,8159.000000000001,14425.0,25.0,51402.0,55001.0,339.1,16.06,243.0
2012,25900.0,177835.0,41079.885,26940.757655,32547.71737,28308.308804999997,10666.89897,0.0,24778.0,8125.0,14694.0,25.0,46444.0,56625.0,344.7,14.21,207.0
2011,25940.0,155215.0,33836.87,22819.08844,24397.00413,24639.760390000003,9953.006660000001,0.0,20527.0,5703.999999999999,10000.0,16.0,55896.99999999999,49397.0,406.8999999999999,12.62,102.0
2012,25940.0,155215.0,33836.87,22819.08844,25489.4073,24032.869740000002,10317.14105,0.0,22471.0,5635.0,10246.0,16.0,55266.0,52302.0,613.5999999999999,12.040000000000001,93.0
2012,26420.0,4070989.0,1176515.821,483377.02089300007,833608.275552,494954.9136090001,240241.27385700005,0.0,648004.0,170211.0,374466.0,1338.0,50437.0,1430396.0,420.4,17.17,138.0
2011,26420.0,4627859.0,1339121.861,541612.686348,872967.3846330001,559498.802424,287043.28447199997,0.0,733075.0,170053.00000000003,403808.0,1470.0,136359.0,1590975.9999999998,659.0,12.224655172413794,348.0
2012,26620.0,327744.0,78330.81599999999,50381.46316800001,78315.739776,28682.516160000003,29430.755711999995,0.0,60101.0,12405.0,24904.0,84.0,54633.0,131646.0,491.4,21.41,116.0
2011,26900.0,890879.0,228065.024,172994.447736,200169.820752,109364.30604,66281.39760000001,0.0,159448.0,41351.0,96915.0,350.0,43823.0,339670.0,860.1,20.22,260.0
2012,26900.0,890879.0,228065.024,171006.00580800002,200832.634728,106713.050136,68932.653504,0.0,154033.0,45298.0,99764.0,350.0,39393.0,344710.0,753.1,17.61,248.0
2012,27980.0,145157.0,33240.953,19137.644037,26188.354998000003,22718.957541000003,8617.535619,0.0,24244.000000000004,6239.0,11227.0,10.0,56206.0,53009.0,367.1,13.13,175.0
2011,27980.0,145157.0,33240.953,19697.224271999996,25628.774763000005,21823.629165,8505.619572,0.0,24064.999999999996,6614.0,10334.0,10.0,64150.00000000001,51272.0,347.6,9.94,193.0
2012,28060.0,89624.0,21151.264,12667.45616,14927.056448000001,12256.619744,4382.255104,0.0,12961.999999999998,5180.0,5687.0,10.0,42278.0,31517.0,201.2,19.53,105.0
2011,28060.0,89624.0,21151.264,12530.510687999998,14995.529184000003,12256.619744,4313.782368,0.0,12850.000000000002,4743.0,5004.0,10.0,44013.0,31175.999999999996,223.79999999999998,18.99,133.0
2012,28140.0,1403530.0,354883.166,206102.971834,313014.40034,173401.367368,88978.995106,0.0,263167.0,63795.99999999999,116216.0,227.99999999999997,153814.0,553335.0,1829.8,15.611397670549087,601.0
2011,28140.0,1403530.0,354883.16599999997,216046.69500399998,300733.446852,177242.67488399998,87441.940474,0.0,268645.0,60877.0,113545.0,227.99999999999997,162742.0,559099.0,1784.6999999999998,14.417739463601533,783.0
2011,28180.0,64529.0,14648.083,8330.113139000001,10225.587985,9976.183400000002,4140.116111,0.0,9091.0,2982.0,4581.0,6.0,62501.0,24560.0,180.6,12.54,82.0
2012,28180.0,64529.0,14648.083,8280.232222,10824.158989,10824.158989,4289.758862,0.0,9557.0,2781.0,4337.0,6.0,52714.0,25128.0,233.9,11.300000000000002,101.0
2011,28260.0,45814.0,10903.732,5969.655828,10298.52906,6458.39958,2373.8982240000005,0.0,6933.0,998.9999999999999,2354.0,13.000000000000002,46316.0,19938.0,374.79999999999995,16.1,74.0
2012,28300.0,77045.0,15100.82,11397.729120000002,17406.314580000002,10034.95716,5451.087839999999,0.0,10397.0,2425.0,4166.0,52.0,49126.0,30548.0,173.6,15.09,100.0
2011,28300.0,77045.0,15100.82,12264.947640000002,17344.370400000003,10096.90134,5017.47858,0.0,11094.0,2451.0,3858.0,52.0,53210.0,30846.0,190.5,20.72,103.0
2012,29060.0,61358.0,12455.674,9976.074503999998,12812.409412,8019.9814639999995,4596.818644,0.0,8721.0,2134.0,3907.0000000000005,21.0,53851.0,25323.0,127.29999999999998,20.66,107.0
2011,29180.0,56141.0,14821.224,10329.944,13098.368992,7644.15856,4834.413792,0.0,5029.0,1650.0,4734.0,1.9999999999999998,41414.0,19312.0,322.7,14.580000000000002,74.0
2011,29340.0,187554.0,48388.932,33399.61632,46898.627916,23658.061560000002,16699.80816,0.0,25165.0,5848.0,16377.0,20.0,44826.0,66329.0,418.6,18.18,102.0
2011,29820.0,1902834.0,500445.342,323951.779998,364621.05108,262246.679046,120605.424588,0.0,296017.0,117413.0,158843.0,276.0,56691.0,679243.0,415.5,14.45,380.0
2012,29820.0,1902834.0,500445.342,315537.44805,367425.828396,262246.679046,122007.81324600002,0.0,308328.0,147501.0,164312.0,276.0,51427.0,699568.0,438.3,15.44,341.0
2011,29940.0,116383.0,20832.557,16434.676195999997,25416.417838,20352.244359,5924.127466,0.0,22220.0,3483.0,5656.0,13.0,47614.0,46787.0,386.1,16.53,138.0
2011,30150.0,142843.0,26934.923,21140.850926,26932.343182,20988.461814000002,8717.852028,0.0,20934.0,4551.0,7781.0,161.0,105483.0,53844.0,271.9,22.889254901960786,255.0
