cbsacode,year,gdp
13020.0,2015,3614247.0
13020.0,2016,3652716.0
13020.0,2017,3539706.0
13020.0,2018,3693350.0
13020.0,2019,3712104.0
13020.0,2020,3767689.0
13020.0,2021,4302686.0
13020.0,2022,4538542.0
13060.0,2011,2201061.0
13060.0,2012,1975235.0
13060.0,2013,2026828.0
13060.0,2014,2204017.0
13060.0,2015,2125297.0
13060.0,2016,2114758.0
13060.0,2017,2189072.0
13060.0,2018,2117607.0
13060.0,2019,2400533.0
13060.0,2020,2328018.0
13060.0,2021,2647612.0
13060.0,2022,2963316.0
13100.0,2011,931154.0
13100.0,2012,885556.0
13100.0,2013,954361.0
13100.0,2014,907259.0
13100.0,2015,884570.0
13100.0,2016,866502.0
13100.0,2017,862227.0
13100.0,2018,943595.0
13100.0,2019,975864.0
13100.0,2020,1025131.0
13100.0,2021,1254856.0
13100.0,2022,1385539.0
13140.0,2011,26235357.0
13140.0,2012,28677637.0
13140.0,2013,28013478.0
13140.0,2014,23224651.0
13140.0,2015,22872046.0
13140.0,2016,22768206.0
13140.0,2017,24454169.0
13140.0,2018,27639267.0
13140.0,2019,26543326.0
13140.0,2020,21539797.0
13140.0,2021,25029404.0
13140.0,2022,29605473.0
13180.0,2011,3229604.0
13180.0,2012,3489075.0
13180.0,2013,3569418.0
13180.0,2014,3690211.0
13180.0,2015,3632188.0
13180.0,2016,3517396.0
13180.0,2017,3675552.0
13180.0,2018,3764500.0
13180.0,2019,3835229.0
13180.0,2020,3817933.0
13180.0,2021,4178864.0
13180.0,2022,4549317.0
13220.0,2011,4361643.0
13220.0,2012,4316696.0
13220.0,2013,4148275.0
13220.0,2014,3991700.0
13220.0,2015,3875195.0
13220.0,2016,3720827.0
13220.0,2017,3990112.0
13220.0,2018,4165865.0
13220.0,2019,4384537.0
13220.0,2020,4188924.0
13220.0,2021,4574161.0
13220.0,2022,5164197.0
13260.0,2011,1065988.0
13260.0,2012,1037933.0
13260.0,2013,1161824.0
13260.0,2014,1232946.0
13260.0,2015,1259727.0
13260.0,2016,1284783.0
13260.0,2017,1280171.0
13260.0,2018,1399615.0
13260.0,2019,1404192.0
13260.0,2020,1331933.0
13260.0,2021,1633609.0
13260.0,2022,1741168.0
13300.0,2011,871190.0
13300.0,2012,906528.0
