CBSA Code,Num_Parks,Park_Area_Acres,Num_County,Num_Urban_Area,County_FIPS,Weighted_RESP,Weighted_UHI
28700,71,8111.771909,5,4,"47163, 47073, 51169, 51191, 51520",0.310147189,0.178439719
28740,72,4594.5247,1,4,36111,0.204655991,0.067590852
28780,13,955.302275,1,1,48273,0.2,0.209181265
28820,9,149.1807945,1,2,37107,0.3,0.114066654
28860,8,65.93014946,1,1,29001,0.2,0.1185839
28880,222,51046.06528,2,12,"36027, 36071",0.201367122,0.276727772
28900,22,1488.969366,1,1,41035,0.2,-0.180133855
28940,233,10960.03263,6,4,"47009, 47001, 47093, 47105, 47145, 47013",0.350272368,0.578035434
29020,34,404.6541197,1,1,18067,0.219099854,0.184443247
29060,23,561.0705044,1,2,33001,0.2,0.164986422
29100,161,3772.042812,3,3,"55063, 27055, 55123",0.2,0.34103349
29180,74,1760.791939,4,8,"22055, 22113, 22001, 22099",0.300461687,0.185692946
29200,56,3213.748266,3,3,"18157, 18015, 18171",0.208780108,0.096229613
29260,13,1085508.117,1,2,41061,0.2,-0.566940448
29300,29,1889.381295,2,2,"13285, 01017",0.5,0.240435852
29340,50,1865.777304,2,7,"22019, 22053",0.334842428,0.141339938
29380,16,5641.235577,1,2,12023,0.347752037,0.317788681
29420,32,1293904.093,1,6,4015,0.170522663,-1.679292081
29460,207,9806.848572,1,7,12105,0.320180483,1.005814852
29470,4,30.73154669,1,2,51137,0.3,0.15761856
29540,502,26770.97038,1,9,42071,0.291931251,0.045461077
29620,221,4405.196934,3,6,"26037, 26045, 26065",0.200122466,0.375228549
29660,14,448.6527904,1,1,56001,0.1,-1.230645606
29700,93,2340.05269,1,3,48479,0.233333333,-0.025606284
29720,7,9.011489299,1,1,72081,0.18975532,0.329671734
29740,113,1646.415713,1,4,35013,0.213104089,-0.150979717
29780,8,190.045988,1,1,35047,0.1,-0.617493106
29820,691,51449.41515,1,5,32003,0.218764017,-1.550648429
29860,9,131.3433178,1,1,28067,0.4,0.171454505
29900,4,82.44919641,1,1,37165,0.351379042,-0.007284255
29940,72,22195.00086,1,3,20045,0.233333333,0.262991764
29980,3,895.9071589,1,1,47099,0.3,0.165731803
30020,84,700.4503065,2,3,"40031, 40033",0.216639605,0.648961525
30060,5,91.42749036,1,1,29105,0.3,0.009442379
30140,139,33238.7452,1,6,42075,0.2450693,0.165915666
30150,86,11029.82735,4,9,"50017, 33009, 33019, 50027",0.192456708,0.068000783
30180,13,228.1041386,1,1,19149,0.2,-0.037904231
30260,52,94827.43984,1,3,42119,0.208943173,0.666939892
30280,7,172.2579751,1,1,47117,0.3,0.235054154
30300,30,71832.17154,2,1,"53003, 16069",0.238646775,0.949461088
30340,57,529.5946207,1,2,23001,0.2,-0.451079245
30380,49,105049.4026,1,3,42087,0.2,0.329244383
30420,21,443.7124001,1,3,31047,0.217251313,-0.262150848
30460,246,6545.74786,6,8,"21017, 21239, 21113, 21209, 21049, 21067",0.300713504,0.579604223
30500,41,5552.237493,2,6,"24009, 24037",0.304706494,0.277062303
30580,12,185.0578059,1,1,20175,0.2,0.039808104
30620,25,886.8499838,1,3,39003,0.207955229,0.219832118
30660,13,1562.019923,1,1,17107,0.2,0.446161715
30700,261,7997.452731,2,5,"31109, 31159",0.217807697,0.113587207
30780,203,20981.54628,5,7,"05125, 05085, 05119, 05045, 05053",0.371822899,0.402519483
30820,122,235367.261,1,5,42035,0.2,0.302134968
30860,88,1365.134977,2,2,"16041, 49005",0.14118278,0.106997176
30900,9,245.46333,1,1,18017,0.2,0.742234795
30980,81,33403.61211,4,6,"48459, 48183, 48203, 48401",0.373190069,0.098504785
31020,76,10115.97574,1,5,53015,0.332747379,0.770776117
31060,19,297.1726119,1,2,35028,0.1,0.008072497
31080,3551,893320.7682,2,9,"06037, 06059",0.268954342,0.014033295
