adult_smoking,adult_obesity,sti,excessive_drinking,population,under_18_pct,diabetes_prevalence,no_time_activity,edu_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,life_expectancy,65older,fipscode,diabetes_pop,obesity_pop,smoking_pop,drinking_pop,physical_inactivity,life_total
0.263,0.383,275.1,0.1557040485,23508,0.1999744768,0.12,0.377,2598,475.0,1384.0,4,46453.0,7062.0,74.823226352,5310,1133,2820.96,9003.564,6182.604,3660.2907721379997,8862.516,1758944.4050828163
0.1732177599,0.307,854.9,0.1814785009,731158,0.2444492162,0.071,0.216,138592,27196.0,36389.0,4542,79961.0,239445.0,78.615640554,95876,2000,51912.21799999999,224465.506,126649.5508929642,132689.4577610422,157930.128,57480454.51618153
0.195,0.315,329.6,0.163061054,3401,0.0705674802,0.129,0.281,513,100.0,122.0,3,79128.0,592.0,112.50385595,374,2013,438.729,1071.315,663.195,554.570644654,955.681,382625.61408595
0.168,0.277,248.5,0.1884720205,5680,0.1198943662,0.108,0.238,978,169.0,135.0,8,92216.0,1806.0,91.47865596,441,2016,613.4399999999999,1573.3600000000001,954.24,1070.5210764400001,1351.84,519598.7658528
0.153,0.307,962.2,0.2106190841,287095,0.2383810237,0.083,0.205,64089,10971.0,13949.0,1752,84577.0,113208.0,78.683915473,35114,2020,23828.885000000002,88138.165,43925.534999999996,60467.6859496895,58854.475,22589758.712720934
0.349,0.383,2724.9,0.1683395457,18437,0.3543418127,0.16,0.326,1554,805.0,1564.0,484,52214.0,1486.0,70.711690412,1510,2050,2949.92,7061.371,6434.513,3103.6762040709,6010.462,1303711.436126044
0.212,0.341,598.1,0.2090795829,788,0.1992385787,0.096,0.216,134,31.0,23.0,0,87032.0,290.0,,152,2060,75.648,268.708,167.05599999999998,164.7547113252,170.208,
0.178,0.284,333.8,0.2168640495,2081,0.1691494474,0.085,0.199,416,107.0,29.0,0,80192.0,561.0,89.085612122,264,2068,176.88500000000002,591.0039999999999,370.418,451.2940870095,414.119,185387.158825882
0.307,0.357,1729.0,0.193227931,4833,0.3155390027,0.132,0.277,647,143.0,527.0,42,72334.0,550.0,70.240750907,525,2070,637.956,1725.3809999999999,1483.731,933.8705905229999,1338.7410000000002,339473.54913353105
0.176,0.304,863.2,0.1968063609,95651,0.236756542,0.081,0.222,21203,2841.0,4384.0,675,76650.0,37227.0,80.2125933,11227,2090,7747.731000000001,29077.904,16834.575999999997,18824.725226445902,21234.522,7672414.761738299
0.179,0.302,237.2,0.2116353793,2614,0.1740627391,0.082,0.196,377,159.0,44.0,6,105044.0,446.0,84.359986653,625,2100,214.348,789.428,467.906,553.2148814902,512.344,220517.00511094203
0.227,0.348,,0.199925697,2141,0.1816907987,0.106,0.236,210,142.0,62.0,6,55593.0,378.0,84.327972523,537,2105,226.946,745.068,486.007,428.040917277,505.27599999999995,180546.189171743
0.151,0.275,406.6,0.216668357,31849,0.2070708656,0.076,0.167,6814,1081.0,1106.0,283,89204.0,10951.0,81.074345674,4720,2110,2420.524,8758.475,4809.199,6900.670502093,5318.783,2582136.835371226
0.199,0.274,264.0,0.2206660622,59414,0.2229945804,0.083,0.22,8391,2393.0,2501.0,191,68448.0,17283.0,79.226274401,11420,2122,4931.362,16279.436000000002,11823.386,13110.653419550801,13071.08,4707149.867261014
0.195,0.317,568.3,0.2251248935,13747,0.2095729977,0.086,0.215,2226,627.0,695.0,169,76780.0,4611.0,80.190629837,2355,2130,1182.242,4357.799,2680.665,3094.7919109445,2955.605,1102380.5883692391
0.165,0.292,330.8,0.1914648961,12992,0.2415332512,0.091,0.23,2952,380.0,482.0,53,72028.0,4132.0,80.545960366,1609,2150,1182.272,3793.6639999999998,2143.6800000000003,2487.5119301312,2988.1600000000003,1046453.117075072
0.43,0.451,3848.9,0.1576743601,8328,0.4158261287,0.197,0.382,456,445.0,1120.0,10,37566.0,107.0,67.687245673,546,2158,1640.616,3755.928,3581.04,1313.1120709128,3181.2960000000003,563699.3819647441
0.293,0.371,753.8,0.1846833081,1493,0.288680509,0.136,0.283,204,65.0,69.0,3,54386.0,115.0,,169,2164,203.048,553.903,437.44899999999996,275.7321789933,422.51899999999995,
0.198,0.32,358.2,0.2019834716,110213,0.262210447,0.081,0.239,17260,3990.0,4859.0,291,89502.0,31528.0,78.991712039,14446,2170,8927.253,35268.16,21822.174000000003,22261.204355450798,26340.907,8705913.558954308
0.308,0.418,2469.0,0.1885637265,9909,0.3418104753,0.14,0.288,1082,411.0,943.0,100,64309.0,918.0,70.318965308,842,2180,1387.2600000000002,4141.9619999999995,3051.9719999999998,1868.4779658885,2853.792,696790.627236972
0.241,0.351,976.4,0.2091069073,9294,0.2779212395,0.112,0.237,1545,189.0,757.0,11,94759.0,939.0,76.21044775,723,2185,1040.928,3262.194,2239.854,1943.4395964462,2202.678,708299.9013885
0.343,0.391,2873.6,0.1779774752,7644,0.3626373626,0.15,0.292,674,352.0,854.0,83,65194.0,447.0,71.252485897,594,2188,1146.6,2988.804,2621.8920000000003,1360.4598204288002,2232.048,544654.002196668
0.181,0.282,,0.231488212,3296,0.2123786408,0.081,0.205,399,123.0,116.0,14,66096.0,825.0,80.638920457,666,2195,266.976,929.4719999999999,596.576,762.985146752,675.68,265785.881826272
