Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n
2011,17140.0,855062.0,200084.508,137545.27332,176188.945348,132960.43087600003,66807.70418399999,0.0,146933.0,38885.0,78967.0,642.0,50285.0,317385.0,825.6,16.98,139.0,110522924.0,56549.75605,0.267904588,16858.19932453354,2580.0126572547233,236.22800621497916
2011,17410.0,1275709.0,293413.07,198423.77786,277007.45226,177795.56333,109034.84823,0.0,212400.00000000003,58771.0,129636.0,937.0,44324.0,457147.0,573.2,16.66,124.0,109640094.0,41768.94563,0.203612579,18512.472090877836,2295.1293342616086,276.19034178895487
2012,17410.0,1581416.0,366477.043,243427.10137100003,350703.567997,216440.053551,131859.612615,0.0,258520.0,75659.0,156268.0,1004.0,91499.0,574121.0,960.1,18.65764912280702,285.0,113177199.0,41768.94563,0.203612579,18512.472090877836,2295.1293342616086,276.19034178895487
2012,17820.0,604542.0,157180.92,87682.77168,94840.54896,70683.05064,26841.6648,0.0,118192.0,28745.000000000004,43440.0,254.0,51553.0,226775.0,510.2,17.98,187.0,29344597.0,2660735.546,0.127455439,4424.128707262707,356.72436313335436,14.173028741603009
2011,17820.0,604542.0,157180.92,88130.13276,87235.4106,73367.21712,24604.8594,0.0,114916.0,24832.0,41423.00000000001,254.0,59061.0,223251.0,455.3,20.97,255.0,28716313.0,2660735.546,0.127455439,4424.128707262707,356.72436313335436,14.173028741603009
2012,17900.0,372023.0,88541.474,51026.67468,87312.310008,53294.526888,30899.486334,0.0,73334.0,17438.0,35601.0,121.0,45944.0,141868.0,923.6,15.99,162.0,33125891.0,3075.765014,0.404761933,5000.496439466242,344.7172218856822,20.33143994310492
2011,17900.0,372023.0,88541.474,50459.711628000005,85327.93932599999,51877.11925799999,30616.004808,0.0,74075.0,17516.0,33880.0,121.0,49653.0,135195.0,1090.1,10.49,124.0,32454324.0,3075.765014,0.404761933,5000.496439466242,344.7172218856822,20.33143994310492
2011,18140.0,1150122.0,276029.28,201915.41832000003,270094.65048,170448.0804,90031.55016,0.0,251029.0,52123.0,99145.0,641.0,51246.0,458754.0,660.7,19.31,142.0,95551418.0,41096.83534,0.216857361,17952.316001686275,3764.190707377416,145.36377482730208
2012,18140.0,1150122.0,276029.28,198419.04744,270094.65048,167825.80224,87409.27200000001,0.0,237763.0,53508.0,104640.0,641.0,47621.00000000001,459902.0,684.6,18.95,175.0,101699415.0,41096.83534,0.216857361,17952.316001686275,3764.190707377416,145.36377482730208
2011,18180.0,149071.0,32050.265,19776.504215,29255.18375,19308.421275,8893.575859999999,0.0,24831.0,4662.0,8790.0,99.0,64885.0,61745.0,145.1,24.63,161.0,8801326.0,6491.92218,0.206427257,628.5298205185071,2.53398716274154,0.1876794087844312
2012,18180.0,149071.0,32050.265,18723.3176,29723.26669,18957.359069999995,9010.596595,0.0,24327.000000000004,4490.0,9147.0,99.0,60932.0,60958.0,134.3,21.67,146.0,8897250.0,6491.92218,0.206427257,628.5298205185071,2.53398716274154,0.1876794087844312
2012,19100.0,4241630.0,1197929.56,542108.0689399999,897198.64438,454647.13064,271990.90006,0.0,685145.0,177905.0,388443.0,1270.0,99391.0,1539106.0,1041.6,13.604871794871793,156.0,381693570.0,216176.8657,0.304956771,77936.53684014286,17825.883476514304,507.9370240746878
2011,19100.0,1789900.0,506541.70000000007,246404.7936,343940.02440000005,200203.8948,107802.09720000002,0.0,309403.0,69492.0,144936.0,391.0,56265.0,668816.0,452.7,15.68,101.0,363599468.0,216176.8657,0.304956771,77936.53684014286,17825.883476514304,507.9370240746878
2011,19430.0,532562.0,121424.136,85927.813576,123752.497064,61259.54173599999,48925.405816,0.0,89082.0,30580.0,50141.0,249.0,45237.0,198613.0,636.9,20.42,121.0,35270308.0,23780.11281,0.221093208,5463.707561939763,673.422493930893,47.61699288771028
2012,19430.0,532562.0,121424.136,87572.365032,127863.875704,59614.99028,49336.54368,0.0,88235.0,29016.0,51277.0,249.0,40885.0,196648.0,477.9,18.86,131.0,35839411.0,23780.11281,0.221093208,5463.707561939763,673.422493930893,47.61699288771028
2012,19740.0,2441846.0,614508.934,327462.36763800005,357531.17366200004,347368.744894,102285.23058,0.0,491286.0,119015.0,166755.0,1585.0,318339.0,903613.0,2192.1,17.255013368983956,748.0,154258443.0,107047.352,0.237676869,20875.52766453985,3416.445719278385,105.23922730058966
2011,19740.0,2441846.0,614508.934,338546.24168,341368.010674,354189.20905,100189.747576,0.0,490901.0,104912.0,163378.0,1585.0,329346.0,903802.0,2059.3,16.92702290076336,917.0,147002657.0,107047.352,0.237676869,20875.52766453985,3416.445719278385,105.23922730058966
2012,19780.0,429439.0,109077.506,65353.74477599999,88419.77234400001,63751.937306,24667.835038,0.0,88421.0,14848.0,31052.999999999996,31.000000000000004,54328.0,180449.0,384.2,19.89,151.0,38658547.0,25576.16004,0.201039671,5683.107365557927,1036.0705503956249,16.81298438851916
2011,19780.0,429439.0,109077.506,67275.91374,86817.96487400001,64072.2988,25949.281014,0.0,90193.0,13725.999999999998,29298.000000000004,31.000000000000004,56979.99999999999,180921.0,465.2,14.939999999999998,145.0,35558978.0,25576.16004,0.201039671,5683.107365557927,1036.0705503956249,16.81298438851916
2011,19820.0,3131356.0,769328.416,501839.05139999994,728593.6994640001,410477.610288,256042.006512,0.0,549104.0,218480.0,307090.0,1371.0,110132.0,1109947.0,1280.5,18.745047801147223,523.0,204431264.0,65953.89217,0.202550223,31571.294386929138,5638.368273110151,73.23409170186135
2012,19820.0,3962783.0,960556.626,605187.598204,942559.1387960002,524565.359656,329973.933828,0.0,679155.0,251587.0,343352.0,1475.0,149161.0,1394867.0,1532.6,18.138188405797106,690.0,216756212.0,65953.89217,0.202550223,31571.294386929138,5638.368273110151,73.23409170186135
2012,20100.0,157741.0,39750.732,26311.829764,38582.817636,18878.44288,13804.861356,0.0,22979.0,6107.0,14232.0,28.0,51490.0,57160.00000000001,665.2999999999998,14.18,228.0,6440377.0,958.1472845,0.214407187,587.3526605752004,19.548807160903134,0.6088262683534522
2011,20100.0,157741.0,39750.732,27137.76164,38228.846832,19232.413684,13450.890552,0.0,22170.0,5800.0,13659.0,28.0,55179.0,56270.0,617.7,14.72,223.0,6738419.0,958.1472845,0.214407187,587.3526605752004,19.548807160903134,0.6088262683534522
2012,21660.0,351109.0,69870.691,50904.13392899999,76215.581739,46685.559294,21655.349793,0.0,56052.0,20378.0,22359.0,208.0,40545.0,111589.0,365.9,24.18,137.0,12551239.0,2337868.63,0.346132129,2717.402098990574,168.54657275854555,27.30691020712682
2011,21660.0,351109.0,69870.691,52029.087165,72840.722031,48091.750839,19405.443321,0.0,51340.0,21761.0,22106.0,208.0,43614.0,110809.0,339.0,25.52,167.0,12171136.0,2337868.63,0.346132129,2717.402098990574,168.54657275854555,27.30691020712682
2011,21820.0,98660.0,25651.6,15842.8228,18617.142,15258.7556,3796.4368,0.0,18992.0,3348.0,6825.999999999999,23.0,65472.99999999999,34915.0,613.5,13.21,93.0,5805648.0,2113.883618,0.279356611,0.0,0.0,0.0
2012,21820.0,98660.0,25651.6,15404.7724,20077.31,15112.7388,4380.504,0.0,18434.0,3295.0,6831.0,23.0,60472.0,34755.0,700.2,17.8,112.0,5598413.0,2113.883618,0.279356611,0.0,0.0,0.0
2012,22020.0,143339.0,31104.563,19753.260912,31650.111234,25701.686073000004,7070.769531000001,0.0,33075.0,3360.0,7782.0,103.0,50932.0,69582.0,298.7,16.54,128.0,12129413.0,2628.993647,0.238122784,1909.38813948352,65.31266515509242,6.5908699333866245
2011,22020.0,143339.0,31104.563,20426.667534,30976.704612000005,26487.327132,7183.003968000001,0.0,30461.0,3601.0,7384.0,103.0,46942.0,65831.0,330.9,20.79,186.0,10795919.0,2628.993647,0.238122784,1909.38813948352,65.31266515509242,6.5908699333866245
2011,22140.0,124131.0,35377.335,22365.92358000001,24939.779865000004,11715.483780000002,7455.307860000001,0.0,15703.0,4337.0,12169.0,6.0,45971.0,42709.0,595.1,16.67,144.0,6601191.0,4318.081666,0.281296424,61.47837199188723,0.0,0.0
2012,22140.0,124131.0,35377.335,21389.633265000004,26448.59217,11449.222785000002,7632.81519,0.0,16277.0,5406.0,13986.0,6.0,44155.0,43863.0,596.7,19.06,127.0,6456648.0,4318.081666,0.281296424,61.47837199188723,0.0,0.0
2012,22660.0,298382.0,63256.984,39501.002688,43733.252976,40206.377736,11756.250800000002,0.0,59085.0,13058.0,14520.0,188.0,54739.0,112454.0,245.9,17.6,106.0,13271571.0,1907304.698,0.192262287,1317.2462933232023,215.40978288145357,17.455239320421843
2011,22660.0,298382.0,63256.984,38560.502624,39971.25272,41617.127832,10815.750736,0.0,53153.0,11578.0,14561.0,188.0,56701.0,111359.0,263.3,14.29,108.0,12545315.0,1907304.698,0.192262287,1317.2462933232023,215.40978288145357,17.455239320421843
2012,24260.0,57487.0,16268.820999999998,7707.799473,13107.380922000002,7048.3086090000015,3627.199752,0.0,7677.000000000001,1416.0,5577.0,12.0,46807.0,24123.0,264.2,14.02,97.0,3699069.0,335.7583563,0.2,627.6010482001305,98.48580742688367,18.571104184026083
2011,24260.0,57487.0,16268.820999999998,8161.199442000002,13148.599101000002,6800.999535000001,3668.417930999999,0.0,7230.0,1361.0,4939.0,12.0,46353.0,22883.0,244.7,21.43,163.0,3486296.0,335.7583563,0.2,627.6010482001305,98.48580742688367,18.571104184026083
2012,24340.0,608315.0,156945.27000000002,85760.2487,136765.02819,78989.70275,40623.2757,0.0,110155.0,31413.0,49293.0,248.0,47897.00000000001,231229.0,488.3,17.96,100.0,48266787.0,25100.90362,0.202114018,5775.094485936182,906.5660234503688,15.403630842511337
2011,24340.0,608315.0,156945.27000000002,89371.20654000001,131348.59142999997,81697.92113,38817.79678,0.0,116015.0,34186.0,46350.0,248.0,50746.0,236478.0,559.0,21.58,182.0,46006711.0,25100.90362,0.202114018,5775.094485936182,906.5660234503688,15.403630842511337
2011,24500.0,82178.0,18818.762,11721.459030000002,15396.294833999998,10010.759604,5132.098278,0.0,13063.0,1975.0,5221.000000000001,8.0,42528.0,31786.0,415.7,23.07,162.0,3180591.0,1410.731111,0.207942948,76.59815987059707,4.666409088381597,0.9280774166380956
2012,24500.0,82178.0,18818.762,11721.459030000002,16156.60569,10200.837318,5448.894468,0.0,13189.0,2476.0,5088.0,8.0,41827.00000000001,30592.999999999996,374.3,21.6,152.0,3273959.0,1410.731111,0.207942948,76.59815987059707,4.666409088381597,0.9280774166380956
2012,24540.0,254759.0,70313.48400000001,33753.529428,46664.715548,29880.173592,10697.839928,0.0,41330.0,12188.0,15627.0,59.0,52334.0,91550.0,339.1,18.55,96.0,12212115.0,3731.330065,0.340778555,1294.3284105911177,187.62400878699054,11.411151992979722
2011,24540.0,254759.0,70313.48400000001,33200.192879999995,44082.478324,30802.401172,10144.50338,0.0,44211.0,10400.0,15222.0,59.0,55845.0,93007.0,318.7,16.78,102.0,11239384.0,3731.330065,0.340778555,1294.3284105911177,187.62400878699054,11.411151992979722
2011,24660.0,480362.0,114326.156,71376.98958,102124.000476,48682.767252000005,36603.5844,0.0,84949.0,26577.0,41057.0,143.0,47836.0,182257.0,432.4,14.82,97.0,36971732.0,13649.26537,0.35200973,4641.447652837657,322.26140377096107,10.879092174656234
2012,24660.0,480362.0,114326.156,67350.595296,103222.108008,49048.803096,37335.656088,0.0,85117.0,26866.0,43693.0,143.0,42415.0,186284.0,576.6,16.95,83.0,36284486.0,13649.26537,0.35200973,4641.447652837657,322.26140377096107,10.879092174656234
2011,24860.0,451428.0,111051.288,69096.472536,87817.19169600001,46631.609544000006,30293.527368,0.0,73444.0,22947.0,33798.0,50.0,48147.0,164517.0,375.5,16.75,143.0,32961568.0,5125.857784,0.386921867,3282.6302764345846,346.59018785931465,22.770882420805364
