GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""54000""",West Virginia,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,63599758,64465686,65106806,66077577,67888756,68900010,69374083,70966758,70886497,71823772,73175181,73124528,73948954,74111275,74261375,73513255,75172448,77406536,77162193,74553772,75765122,77187997,80798157
" ""55000""",Wisconsin,3,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,252941835,257966938,265745807,275412405,282065657,287146577,289855233,286204709,277279381,287652877,293663960,299007637,301550506,309425837,315687778,319272276,321886779,328832367,333256767,322470643,334513984,339747864,344570759
" ""56000""",Wyoming,7,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,28338117,28901290,29806642,30780132,32463117,36655636,39504839,41641237,40599568,39135847,38929822,38084983,38408734,39287223,40063871,37853539,37620307,37977192,38577118,36198198,37131830,37827244,40210781
" ""91000""",New England,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,815552416,819333731,837234287,871834386,889361439,914340548,936059913,941279160,920013421,948885343,954794908,968580069,968966586,982746180,1013587488,1023574227,1039545446,1062478003,1086223717,1061531776,1121276219,1148442209,1169288251
" ""92000""",Mideast,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,2771541685,2784056153,2829745761,2907954735,2976619316,3029492023,3077936798,3089355446,3092498188,3194703135,3219506525,3301293996,3334509232,3395872868,3465391013,3518584521,3572774364,3647342192,3711064230,3589546702,3759180365,3833059452,3901560972
" ""93000""",Great Lakes,3,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,2203149089,2243919009,2296970504,2363124339,2408650149,2425979694,2450466500,2403345996,2284891859,2368842329,2421624389,2463334033,2505982390,2569254665,2606191645,2632446921,2669538336,2722152196,2756943488,2649553265,2798288585,2854331026,2898354600
" ""94000""",Plains,4,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,910419433,930798771,965431834,1002489691,1032697339,1047757569,1071799659,1092075727,1064275981,1096010401,1120460066,1149893612,1167911493,1202106677,1227189305,1237736420,1250759343,1274025842,1288475929,1262663108,1330505923,1354128628,1388150705
" ""95000""",Southeast,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,3118856908,3195086660,3312051560,3473548695,3634909922,3726096703,3752274330,3738925147,3611267900,3695420192,3716013070,3762626344,3828029948,3902765273,4011954269,4102066919,4210089181,4315633378,4423102626,4345697448,4641104513,4802786205,4952758909
" ""96000""",Southwest,6,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,1446381479,1480277662,1510596470,1592175931,1648724344,1754561799,1832803433,1833232871,1808209594,1851648770,1912613802,1996352031,2075730850,2140042238,2229860392,2235958566,2286160711,2385042078,2466718884,2428217260,2569595986,2660434410,2838599111
" ""97000""",Rocky Mountain,7,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,453118482,459318533,467703707,484373456,511144300,533204603,555985280,563305602,549726516,557538270,567497994,574357559,594720656,617617804,641499082,655672594,681310123,712372100,746428762,743870716,796343098,822215229,856063087
" ""98000""",Far West,8,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,2463451014,2514956943,2609835821,2705895007,2835774939,2947201499,3026963051,3056662307,2948080132,3010545720,3066026011,3148430217,3249257573,3360531450,3516768389,3629300282,3797440495,3956948041,4115306459,4055843532,4352482955,4411936147,4525827912
Note: See the included footnote file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAGDP1: County and MSA gross domestic product (GDP) summary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: December 4, 2024-- new statistics for 2023; revised statistics for 2019-2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
