cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper
28140.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.5036857252302536,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
28940.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.824998416859291,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
30700.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.9397543568939941,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
30780.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.3014600176435991,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
31080.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.3220826939091541,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
31140.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.2397542289547694,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
32820.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.2495498042247366,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
33340.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.6349969036887426,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
33460.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7089556866746012,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
34980.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.057329864514660045,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
35380.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.5304627112768419,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
35620.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.5638935083382481,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
36260.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.7153165061618711,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
36420.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.1069227928112646,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
