Year,cbsacode,population,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n,smo_obe_dia,smo_obe,smo_dia,obe_dia,depressed,no_time_activity
2011,16940.0,88854.0,15470.36994,16412.044632,11367.358782,5448.260718,14700.0,2805.9999999999995,7416.0,41.0,56193.0,36917.0,444.4,218.0,4774842.0,820.299127,0.141296636,543.7984971703966,19.699717924311848,3.616186436907185,-0.9919517562700878,-0.8218902116121689,-0.799491627418197,-0.8083898791156071,16100.344799999999,15849.0
2011,16980.0,5781248.0,919043.340814,1128974.033244,866294.214376,389301.5102310001,1095545.0,292695.0,526458.0,3270.9999999999995,104601.0,1687310.0,1141.9,407.0,537476155.0,264239.4571,0.204633377,105414.9172620052,17765.80769467855,2547.641416823371,5.2411060427656855,4.455158170520281,4.4238230989320355,3.9599590996325214,1002580.6190702703,1505628.0
2011,17140.0,855062.0,137545.27332,176188.945348,132960.43087600003,66807.70418399999,146933.0,38885.0,78967.0,642.0,50285.0,317385.0,825.6,139.0,110522924.0,56549.75605,0.267904588,16858.19932453354,2580.0126572547233,236.22800621497916,-0.0854395966383981,-0.08843199115204384,-0.035468400997557825,-0.08531746572253894,145189.5276,393937.0
2011,17410.0,1275709.0,198423.77786,277007.45226,177795.56333,109034.84823,212400.00000000003,58771.0,129636.0,937.0,44324.0,457147.0,573.2,124.0,109640094.0,41768.94563,0.203612579,18512.472090877836,2295.1293342616086,276.19034178895487,0.4623822890278878,0.32315064137071203,0.4169537255757091,0.3924910928797332,212533.11940000003,417543.0
2011,17820.0,604542.0,88130.13276,87235.4106,73367.21712,24604.8594,114916.0,24832.0,41423.00000000001,254.0,59061.0,223251.0,455.3,255.0,28716313.0,2660735.546,0.127455439,4424.128707262707,356.72436313335436,14.173028741603009,-0.5824714642444958,-0.4379417677494208,-0.45138111473632153,-0.5372641294867965,126772.4574,79694.0
2011,17900.0,372023.0,50459.711628000005,85327.93932599999,51877.11925799999,30616.004808,74075.0,17516.0,33880.0,121.0,49653.0,135195.0,1090.1,124.0,32454324.0,3075.765014,0.404761933,5000.496439466242,344.7172218856822,20.33143994310492,-0.6531654969112671,-0.5615607690626294,-0.5339509613388549,-0.5044823649983021,39025.212700000004,148078.0
2011,18140.0,1150122.0,201915.41832000003,270094.65048,170448.0804,90031.55016,251029.0,52123.0,99145.0,641.0,51246.0,458754.0,660.7,142.0,95551418.0,41096.83534,0.216857361,17952.316001686275,3764.190707377416,145.36377482730208,0.36386272942805453,0.3192448525876532,0.31132625641342015,0.26080784473125457,222088.5582,359022.0
2011,18180.0,149071.0,19776.504215,29255.18375,19308.421275,8893.575859999999,24831.0,4662.0,8790.0,99.0,64885.0,61745.0,145.1,161.0,8801326.0,6491.92218,0.206427257,628.5298205185071,2.53398716274154,0.1876794087844312,-0.9407894093513831,-0.7803992942592641,-0.7646749094622519,-0.7593991548969145,36716.1873,23170.0
2011,19100.0,1789900.0,246404.7936,343940.02440000005,200203.8948,107802.09720000002,309403.0,69492.0,144936.0,391.0,56265.0,668816.0,452.7,101.0,363599468.0,216176.8657,0.304956771,77936.53684014286,17825.883476514304,507.9370240746878,0.6988554815522422,0.6203897836565928,0.5615722631869741,0.5299706328302297,280656.32,1058302.0
2011,19430.0,532562.0,85927.813576,123752.497064,61259.54173599999,48925.405816,89082.0,30580.0,50141.0,249.0,45237.0,198613.0,636.9,121.0,35270308.0,23780.11281,0.221093208,5463.707561939763,673.422493930893,47.61699288771028,-0.4015283595355005,-0.36579076786099485,-0.3090099783464381,-0.30877109645992373,108749.16040000001,151175.0
