cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper,ln_area_beta,ln_area_p,ln_area_CI_lower,ln_area_CI_upper
28180,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.03528342329031986,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
28300,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.07002607076030465,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
29820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.1263305223018083,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
30340,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.0006618060073613208,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
30700,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.1368532957324895,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
30780,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.1034060761443687,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
31080,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.06986164442140819,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
31140,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.23826352649872184,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
31700,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.05165251076459576,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
33100,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.11446033242767051,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
33340,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.3056931933394935,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
33460,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.08680770047641673,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
33540,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.43266054131503573,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
33660,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.18485496515766897,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
34820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.13443290318966383,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
35620,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.256599488796839,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
35820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.12249323491247921,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
36260,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.17728486540430133,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
36420,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.0649440436141937,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
36500,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.03685239985296995,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
36540,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.13345992692985043,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
37980,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.08964108458732412,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
38060,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.47750371686900195,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
38300,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.268212054987055,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
38860,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.021355903907474882,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
