cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
43620,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.4625614746177025,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
44060,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.5984147833719646,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
44140,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.638720743840345,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
45780,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.861234558942801,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
45820,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.37185197632985734,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
46140,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.30270527287706805,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
47260,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.42150660101546755,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
48620,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.07963929354585275,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
49340,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.41881054041945553,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
10740,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5331552120437077,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
11260,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,1.523034116682565,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
12060,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.714733388410389,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
12260,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.058570972909329555,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
12420,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.09256718479728931,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
12580,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.1833431497800504,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
12940,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.0848405314201468,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
13740,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.19707736624968497,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
13820,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.20809334316749073,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
13900,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.07606361041282916,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
14260,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.4635179260271389,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
14460,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.10030081817661518,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
15540,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.994276567405592,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
16620,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.35754476894436316,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
16700,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.2559657902849075,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
16740,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5744408101163394,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
16980,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.3189106268894921,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
